Date,Close,Volume,Open,High,Low
12/26/2025,$94.47 ,22068280,$93.48 ,$94.69 ,$93.27 
12/24/2025,$93.64 ,12427900,$93.11 ,$93.68 ,$92.67 
12/23/2025,$93.50 ,25896230,$93.40 ,$93.81 ,$91.33 
12/22/2025,$93.23 ,39484770,$94.71 ,$94.71 ,$92.91 
12/19/2025,$94.39 ,78990150,$93.57 ,$95.54 ,$93.45 
12/18/2025,$94.00 ,37244730,$95.02 ,$95.81 ,$93.59 
12/17/2025,$94.79 ,50472780,$95.98 ,$97.33 ,$94.46 
12/16/2025,$94.57 ,34264990,$93.88 ,$94.93 ,$93.32 
12/15/2025,$93.77 ,40016460,$96.02 ,$96.37 ,$93.53 
12/12/2025,$95.19 ,49323120,$95.50 ,$96.92 ,$94.65 
12/11/2025,$94.09 ,43949010,$93.90 ,$94.82 ,$92.76 
12/10/2025,$92.71 ,74129270,$96.74 ,$96.97 ,$92.35 
12/9/2025,$96.71 ,51745580,$97.03 ,$97.24 ,$95.45 
12/8/2025,$96.79 ,100906300,$99.87 ,$99.89 ,$95.30 
12/5/2025,$100.24 ,133363600,$98.78 ,$104.79 ,$97.74 
12/4/2025,$103.22 ,51779140,$103.57 ,$103.80 ,$101.77 
12/3/2025,$103.96 ,53593400,$106.59 ,$106.87 ,$102.03 
12/2/2025,$109.35 ,25762980,$109.21 ,$109.73 ,$107.52 
12/1/2025,$109.13 ,24873390,$106.51 ,$109.34 ,$106.31 
11/28/2025,$107.58 ,15021610,$106.44 ,$107.94 ,$106.24 
11/26/2025,$106.14 ,27951010,$105.74 ,$106.95 ,$105.22 
11/25/2025,$104.40 ,35122560,$106.12 ,$106.30 ,$103.82 
11/24/2025,$106.97 ,62918290,$104.25 ,$108.04 ,$103.32 
11/21/2025,$104.31 ,41232690,$105.13 ,$106.53 ,$103.81 
11/20/2025,$105.67 ,36918550,$111.00 ,$111.10 ,$105.39 
11/19/2025,$110.00 ,31868090,$113.00 ,$113.34 ,$108.61 
11/18/2025,$114.09 ,43440570,$110.29 ,$115.25 ,$109.20 
11/17/2025,$110.29 ,26082730,$110.75 ,$111.85 ,$109.55 
11/14/2025,$111.22 ,47607130,$114.27 ,$114.27 ,$110.72 
11/13/2025,$115.42 ,40143590,$115.85 ,$116.73 ,$114.57 
11/12/2025,$115.75 ,39220570,$113.82 ,$116.43 ,$112.83 
11/11/2025,$113.64 ,27965940,$111.76 ,$113.92 ,$111.28 
11/10/2025,$112.01 ,36929000,$110.67 ,$112.82 ,$110.41 
11/7/2025,$110.37 ,44125340,$109.42 ,$110.82 ,$108.75 
11/6/2025,$109.70 ,36531700,$109.46 ,$110.37 ,$108.51 
11/5/2025,$109.85 ,35539170,$108.50 ,$110.09 ,$107.34 
11/4/2025,$109.30 ,38717800,$110.00 ,$110.46 ,$108.67 
11/3/2025,$110.01 ,58634390,$113.32 ,$113.35 ,$107.52 
10/31/2025,$111.89 ,68665000,$110.54 ,$113.49 ,$110.20 
10/30/2025,$108.90 ,41580990,$109.44 ,$110.62 ,$108.81 
10/29/2025,$110.04 ,33994870,$109.98 ,$110.86 ,$109.60 
10/28/2025,$110.25 ,40209010,$109.40 ,$111.70 ,$109.30 
10/27/2025,$109.46 ,46911140,$110.07 ,$110.23 ,$108.73 
10/24/2025,$109.47 ,60280250,$111.10 ,$111.45 ,$109.44 
10/23/2025,$111.36 ,68497220,$112.69 ,$112.78 ,$109.97 
10/22/2025,$111.64 ,147890300,$114.29 ,$115.76 ,$111.25 
10/21/2025,$124.14 ,65082340,$124.28 ,$124.86 ,$123.18 
10/20/2025,$123.86 ,39862350,$120.79 ,$124.78 ,$120.69 
10/17/2025,$119.94 ,29571010,$118.36 ,$120.31 ,$117.90 
10/16/2025,$118.36 ,28326190,$121.22 ,$121.67 ,$117.60 
10/15/2025,$120.33 ,20251940,$121.30 ,$121.96 ,$120.16 
10/14/2025,$121.54 ,23624460,$121.48 ,$122.43 ,$120.31 
10/13/2025,$121.90 ,24607830,$122.14 ,$123.11 ,$120.68 
10/10/2025,$122.01 ,42797760,$122.90 ,$124.70 ,$121.91 
10/9/2025,$123.11 ,28240770,$121.43 ,$123.75 ,$121.18 
10/8/2025,$121.43 ,28513530,$119.71 ,$121.74 ,$119.20 
10/7/2025,$119.11 ,33090940,$117.78 ,$120.14 ,$117.75 
10/6/2025,$116.33 ,29685960,$116.04 ,$116.36 ,$114.55 
10/3/2025,$115.33 ,31373650,$116.50 ,$116.80 ,$114.32 
10/2/2025,$116.25 ,46854670,$116.15 ,$116.33 ,$113.40 
10/1/2025,$117.09 ,41102210,$117.55 ,$117.91 ,$116.32 
9/30/2025,$119.89 ,38303040,$120.64 ,$120.85 ,$117.80 
9/29/2025,$120.64 ,30331740,$120.50 ,$122.45 ,$118.75 
9/26/2025,$121.06 ,19449570,$120.54 ,$121.40 ,$120.00 
9/25/2025,$120.82 ,19977830,$120.31 ,$121.68 ,$119.15 
9/24/2025,$120.40 ,27731270,$121.86 ,$122.15 ,$119.42 
9/23/2025,$121.85 ,24991460,$122.73 ,$122.78 ,$120.85 
9/22/2025,$122.74 ,25468140,$122.19 ,$122.98 ,$121.42 
9/19/2025,$122.70 ,49475900,$121.86 ,$123.00 ,$120.81 
9/18/2025,$120.78 ,31691050,$122.08 ,$123.30 ,$120.55 
9/17/2025,$122.85 ,34597960,$122.10 ,$123.39 ,$120.66 
9/16/2025,$120.05 ,24046860,$120.56 ,$120.90 ,$119.73 
9/15/2025,$120.23 ,29092770,$118.84 ,$120.72 ,$117.32 
9/12/2025,$118.84 ,37849440,$120.31 ,$121.18 ,$118.24 
9/11/2025,$120.35 ,56822860,$125.10 ,$125.34 ,$119.20 
9/10/2025,$124.77 ,27010150,$126.40 ,$126.70 ,$124.64 
9/9/2025,$126.33 ,22196550,$124.67 ,$126.57 ,$124.67 
9/8/2025,$124.48 ,19150530,$124.85 ,$125.20 ,$123.20 
9/5/2025,$124.38 ,23796730,$126.00 ,$126.71 ,$123.90 
9/4/2025,$125.75 ,30235060,$122.32 ,$125.75 ,$122.31 
9/3/2025,$122.62 ,24714950,$120.51 ,$122.70 ,$120.34 
9/2/2025,$121.41 ,23032690,$119.70 ,$121.54 ,$118.28 
8/29/2025,$120.83 ,32098170,$122.80 ,$122.88 ,$120.12 
8/28/2025,$123.15 ,19503360,$122.28 ,$123.79 ,$121.43 
8/27/2025,$122.35 ,16645260,$122.36 ,$122.92 ,$121.30 
8/26/2025,$122.61 ,19857140,$122.02 ,$123.15 ,$121.22 
8/25/2025,$121.81 ,28120360,$120.17 ,$123.38 ,$119.90 
8/22/2025,$120.47 ,31281330,$120.89 ,$121.36 ,$119.82 
8/21/2025,$120.62 ,20471780,$121.14 ,$122.14 ,$119.76 
8/20/2025,$121.39 ,24343980,$121.80 ,$122.30 ,$119.33 
8/19/2025,$121.42 ,37077310,$124.02 ,$124.10 ,$119.28 
8/18/2025,$124.51 ,21110870,$123.56 ,$125.12 ,$123.55 
8/15/2025,$123.90 ,27678040,$123.40 ,$124.69 ,$122.79 
8/14/2025,$123.06 ,39046680,$120.99 ,$124.41 ,$120.70 
8/13/2025,$120.44 ,27623550,$123.40 ,$123.71 ,$120.30 
8/12/2025,$122.53 ,22826270,$122.50 ,$123.20 ,$120.65 
8/11/2025,$121.83 ,24556480,$121.40 ,$122.31 ,$120.19 
8/8/2025,$121.16 ,38166890,$118.32 ,$121.41 ,$118.04 
8/7/2025,$118.04 ,26283210,$118.18 ,$119.12 ,$116.82 
8/6/2025,$117.85 ,33621610,$115.35 ,$118.14 ,$115.19 
8/5/2025,$114.79 ,26607350,$117.10 ,$117.17 ,$114.47 
8/4/2025,$117.10 ,22447020,$116.77 ,$117.70 ,$116.26 
8/1/2025,$115.86 ,38909500,$116.30 ,$117.85 ,$115.29 
7/31/2025,$115.94 ,37129490,$118.48 ,$119.00 ,$115.77 
7/30/2025,$118.42 ,29227310,$116.86 ,$118.49 ,$116.61 
7/29/2025,$116.87 ,27524890,$117.90 ,$117.96 ,$116.33 
7/28/2025,$117.46 ,34469580,$118.12 ,$119.78 ,$116.85 
7/25/2025,$118.05 ,26292600,$117.84 ,$118.73 ,$117.44 
7/24/2025,$118.08 ,38455700,$117.78 ,$118.35 ,$116.27 
7/23/2025,$117.68 ,45042640,$118.98 ,$119.26 ,$117.36 
7/22/2025,$119.01 ,50629700,$123.04 ,$123.24 ,$118.75 
7/21/2025,$123.33 ,56275910,$120.60 ,$123.71 ,$119.80 
7/18/2025,$120.92 ,106933100,$124.20 ,$124.65 ,$120.10 
7/17/2025,$127.42 ,64698770,$125.30 ,$127.75 ,$124.48 
7/16/2025,$125.03 ,32270220,$126.17 ,$127.10 ,$124.98 
7/15/2025,$126.03 ,28017310,$126.20 ,$127.12 ,$124.32 
7/14/2025,$126.20 ,27810480,$124.49 ,$127.05 ,$124.00 
7/11/2025,$124.51 ,39571500,$125.98 ,$126.10 ,$123.13 
7/10/2025,$125.06 ,42364940,$128.55 ,$128.96 ,$124.60 
7/9/2025,$128.83 ,23844770,$127.40 ,$128.83 ,$126.62 
7/8/2025,$127.53 ,32925250,$129.09 ,$129.33 ,$126.00 
7/7/2025,$128.96 ,22737370,$129.50 ,$129.50 ,$127.60 
7/3/2025,$129.72 ,20062240,$129.20 ,$130.23 ,$127.98 
7/2/2025,$128.49 ,30488010,$129.70 ,$130.00 ,$127.16 
7/1/2025,$129.36 ,49935670,$133.82 ,$133.88 ,$128.22 
6/30/2025,$133.91 ,32829080,$133.10 ,$134.12 ,$132.12 
6/27/2025,$132.31 ,40708570,$130.69 ,$133.13 ,$130.10 
6/26/2025,$130.67 ,26058700,$128.00 ,$130.73 ,$128.00 
6/25/2025,$127.53 ,21465100,$128.68 ,$129.80 ,$127.38 
6/24/2025,$127.91 ,26633070,$126.05 ,$128.26 ,$125.50 
6/23/2025,$125.35 ,26673180,$123.80 ,$125.48 ,$121.50 
6/20/2025,$123.14 ,53481930,$123.45 ,$124.85 ,$122.43 
6/18/2025,$122.23 ,22810470,$123.00 ,$124.20 ,$122.05 
6/17/2025,$122.07 ,18921260,$122.00 ,$123.24 ,$121.61 
6/16/2025,$122.54 ,21127970,$121.22 ,$122.63 ,$121.22 
6/13/2025,$121.22 ,22102530,$120.66 ,$122.06 ,$120.19 
6/12/2025,$121.50 ,20846020,$122.26 ,$123.00 ,$121.20 
6/11/2025,$121.99 ,23822800,$120.26 ,$122.83 ,$119.60 
6/10/2025,$120.36 ,44544470,$122.75 ,$122.75 ,$118.06 
6/9/2025,$122.45 ,24031170,$123.89 ,$123.89 ,$122.16 
6/6/2025,$124.15 ,25569560,$125.94 ,$126.00 ,$123.56 
6/5/2025,$125.05 ,28217970,$124.06 ,$126.28 ,$123.73 
6/4/2025,$123.97 ,23593810,$122.07 ,$124.26 ,$121.99 
6/3/2025,$121.79 ,23637620,$121.99 ,$122.96 ,$121.12 
6/2/2025,$121.90 ,22942160,$120.12 ,$121.94 ,$119.63 
5/30/2025,$120.72 ,46967560,$119.83 ,$121.18 ,$118.09 
5/29/2025,$118.49 ,33030790,$120.80 ,$120.90 ,$117.63 
5/28/2025,$120.86 ,18558500,$121.03 ,$121.59 ,$120.60 
5/27/2025,$121.16 ,29204690,$119.53 ,$121.18 ,$119.31 
5/23/2025,$118.54 ,21864830,$118.40 ,$119.15 ,$117.94 
5/22/2025,$118.80 ,18615880,$119.24 ,$119.88 ,$118.72 
5/21/2025,$119.46 ,29766100,$118.65 ,$121.12 ,$118.65 
5/20/2025,$119.20 ,21330660,$118.68 ,$119.30 ,$117.90 
5/19/2025,$119.16 ,28534150,$117.36 ,$119.16 ,$117.17 
5/16/2025,$119.15 ,46983530,$119.31 ,$119.65 ,$117.94 
5/15/2025,$117.80 ,44640410,$114.77 ,$118.78 ,$114.76 
5/14/2025,$115.10 ,39101470,$112.96 ,$115.29 ,$112.84 
5/13/2025,$113.84 ,39978690,$111.45 ,$114.79 ,$110.63 
5/12/2025,$111.00 ,64790790,$112.43 ,$113.00 ,$110.29 
5/9/2025,$114.02 ,25696330,$114.71 ,$115.10 ,$113.32 
5/8/2025,$114.44 ,37608720,$116.16 ,$116.23 ,$113.92 
5/7/2025,$115.54 ,43523940,$113.92 ,$116.40 ,$113.80 
5/6/2025,$113.77 ,32566820,$112.94 ,$114.77 ,$112.64 
5/5/2025,$113.41 ,56623170,$111.48 ,$114.40 ,$110.70 
5/2/2025,$115.65 ,37742820,$113.67 ,$115.94 ,$113.33 
5/1/2025,$113.35 ,34994970,$112.25 ,$114.24 ,$111.18 
4/30/2025,$113.17 ,42666760,$111.27 ,$113.32 ,$110.11 
4/29/2025,$112.56 ,37773290,$110.39 ,$112.78 ,$109.55 
4/28/2025,$111.04 ,38310880,$110.00 ,$111.40 ,$108.26 
4/25/2025,$110.15 ,39500080,$109.70 ,$110.68 ,$109.10 
4/24/2025,$109.69 ,63818960,$104.80 ,$110.10 ,$104.70 
4/23/2025,$104.96 ,64718760,$104.72 ,$106.13 ,$103.20 
4/22/2025,$104.03 ,93688730,$100.53 ,$106.50 ,$100.45 
4/21/2025,$98.79 ,97757470,$98.44 ,$101.90 ,$97.31 
4/17/2025,$97.30 ,88937350,$96.90 ,$98.47 ,$95.60 
4/16/2025,$96.16 ,60661130,$97.63 ,$98.12 ,$94.92 
4/15/2025,$97.63 ,77119820,$95.00 ,$99.35 ,$94.80 
4/14/2025,$93.13 ,40358950,$93.27 ,$94.90 ,$91.95 
4/11/2025,$91.83 ,40736380,$92.00 ,$94.49 ,$90.67 
4/10/2025,$92.12 ,51297550,$93.19 ,$94.12 ,$89.40 
4/9/2025,$94.55 ,74979740,$85.59 ,$95.14 ,$85.44 
4/8/2025,$87.04 ,56253820,$91.24 ,$92.24 ,$85.77 
4/7/2025,$86.78 ,66568230,$82.78 ,$90.67 ,$82.11 
4/4/2025,$85.59 ,67988060,$89.65 ,$90.66 ,$85.39 
4/3/2025,$91.71 ,58646220,$90.18 ,$94.66 ,$90.05 
4/2/2025,$93.55 ,32568860,$92.30 ,$94.95 ,$91.61 
4/1/2025,$92.84 ,35199560,$92.75 ,$93.23 ,$91.15 
3/31/2025,$93.25 ,46340750,$92.05 ,$93.45 ,$90.06 
